id, h_TFDsites, n_meas_start, n_meas_end, n_meas_step, nsim, comments
1, 3, 0, 3, 1, 100, HP
2, 3, 0, 3, 1, 100, HP ci A C
3, 4, 0, 4, 1, 100, HP ci A C
4, 5, 0, 5, 1, 100, HP ci A C
5, 6, 0, 6, 1, 100, HP ci A C
6, 5, 0, 5, 1, 100, HP p mi cor 00000
7, 5, 0, 5, 1, 100, HP p mi cor x0000
8, 5, 0, 5, 1, 100, HP p mi cor xx000
9, 5, 0, 5, 1, 100, HP p mi cor xxx00
10, 5, 0, 5, 1, 100, HP p mi cor xxxx0
11, 5, 0, 5, 1, 100, HP p mi cor xxxxx
12, 5, 0, 5, 1, 100, HP p mi cor xy000
13, 5, 0, 5, 1, 100, HP p mi cor xyz00

id, h_TFDsites, n_Asites, n_meas_start, n_meas_end, n_meas_step, nsim, comments
14, 5, 2, 0, 5, 1, 100, HP p mi cor 00000
15, 5, 2, 0, 5, 1, 100, HP p mi cor x0000
16, 5, 2, 0, 5, 1, 100, HP p mi cor xx000
17, 5, 2, 0, 5, 1, 100, HP p mi cor xxx00
18, 5, 2, 0, 5, 1, 100, HP p mi cor xxxx0
19, 5, 2, 0, 5, 1, 100, HP p mi cor xxxxx
20, 5, 2, 0, 5, 1, 100, HP p mi cor x0000
21, 5, 2, 0, 5, 1, 100, HP p mi cor 0x000
22, 5, 2, 0, 5, 1, 100, HP p mi cor 00x00
23, 5, 2, 0, 5, 1, 100, HP p mi cor 000x0
24, 5, 2, 0, 5, 1, 100, HP p mi cor 0000x
25, 5, 2, 0, 5, 1, 100, HP p mi cor xy000
26, 5, 2, 0, 5, 1, 100, HP p mi cor xyz00
27, 3, 1, 0, TFDsites, 1, 100, HP p mi cor 00000
28, 4, 1, 0, TFDsites, 1, 100, HP p mi cor 00000
29, 5, 1, 0, TFDsites, 1, 100, HP p mi cor 00000
30, 6, 1, 0, TFDsites, 1, 100, HP p mi cor 00000
31, 7, 1, 0, TFDsites, 1, 100, HP p mi cor 00000
32, 3, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
33, 4, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
34, 5, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
35, 6, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
36, 7, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
37, 3, 2, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
38, 4, 2, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
39, 5, 2, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
40, 6, 2, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000
41, 6, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor x00000
42, 6, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 0x0000
43, 6, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 00x000
44, 6, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 000x00
45, 6, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 0000x0
46, 6, 1, 0, TFDsites, 1, 100, HP p mi fidelity cor 00000x
